Btl_Cnt,Depthm,T_degC,Salnty,O2ml_L,STheta
17942,10,17.51,32.61,5.68,23.562
556539,75,15.69,33.475,5.58,24.648
281278,300,6.75,33.951,2.67,26.63
487865,30,16.3,33.77,,24.735
93280,908,4,34.53,,27.419
155059,0,12.5,33.94,,25.671
377737,85,9.65,33.961,3.19,26.201
823399,122,9.55,34.01,2.28,26.257
686304,30,14.93,33.084,5.88,24.512
666916,146,8.94,33.924,3.1,26.288
348213,1657,2.5,34.568,1.19,27.594
389993,10,14.32,33.483,6.02,24.949
227314,0,20.88,35.12,5.38,24.619
467873,279,5.84,33.88,4.43,26.691
113654,66,,33.6,5.57,
684453,150,9.27,33.634,4.03,26.008
235847,73,10.01,33.58,3.84,25.843
348996,150,9.23,34.064,2.05,26.351
452098,800,5.63,34.53,,27.236
85296,900,4.49,34.52,0.39,27.36
621913,621,5.34,34.379,0.26,27.149
448395,1100,4.21,34.545,0.42,27.411
627045,900,4.4,34.464,,27.325
602836,500,6.29,34.291,0.41,26.961
780055,52,11.06,33.641,4.83,25.708
697025,0,20.88,33.71,5.28,23.54
138434,30,21.21,33.7,5.07,23.451
502671,50,11.34,33.59,,25.618
319130,150,11.93,33.851,3.63,25.714
185343,20,16.87,33.225,,24.184
554597,495,5.8,34.245,0.47,26.987
382429,75,13.68,33.43,,25.043
789056,378,6.86,34.099,1.42,26.73
577845,101,9.34,33.874,2.82,26.184
816615,2600,1.73,34.654,,27.729
800192,101,11.5,32.944,5.69,25.088
307354,68,12.63,32.84,6.06,24.794
5020,10,14.21,33.588,6.15,25.053
515887,68,12.78,33.476,4.84,25.258
479020,600,11.46,34.825,0.89,26.57
642019,150,9.75,33.605,4.2,25.908
335618,58,17.19,33.798,5.42,24.55
183950,45,18.66,33.65,,24.078
208763,57,13.7,33.52,4.86,25.108
110991,771,4.67,34.4,0.34,27.244
137106,47,17.39,33.09,4.34,23.959
113007,200,9.83,34.321,1.36,26.455
659122,316,6.89,34.06,1.88,26.698
427160,30,11.07,33.49,,25.588
323261,8,14.78,33.2,5.92,24.633
322754,46,12.2,33.3,5.41,25.233
108273,73,17.7,33.97,5.32,24.56
122444,95,,34.06,2.12,
733602,150,10.38,33.583,4.53,25.784
681941,60,13.73,33.274,5.48,24.911
669513,20,14.49,33.194,5.85,24.69
291583,150,13.53,34.867,0.57,26.187
459241,900,3.17,34.33,,27.34
26449,900,4.2,34.52,0.63,27.391
618226,75,11.86,33.416,4.74,25.388
212912,20,12.46,33.27,6.1,25.159
58292,300,7.59,34.155,1.48,26.675
15208,0,20.1,33.69,5.43,23.738
154461,75,11.46,33.233,5.54,25.319
389575,300,7.6,34.24,1.06,26.74
691921,515,5.91,34.224,0.57,26.957
161438,223,8.07,34.04,,26.513
787873,22,15.26,33.542,5.91,24.793
713519,50,11.58,33.784,2.67,25.725
419582,400,6.37,34.1,,26.799
779053,378,7.48,34.272,0.7,26.783
833695,300,7.746,34.1117,1.457,26.6227
719735,41,13.18,33.533,4.31,25.222
347111,10,14.82,33.453,5.64,24.819
566780,400,6.89,34.218,0.92,26.823
